index,s,t,et
1,5345,10857,1
2,8190,10835,1
3,7697,12153,2
4,6261,3571,3
5,1185,9749,3
6,293,1946,4
7,1230,7696,4
8,9351,1885,5
9,623,3531,5
10,2619,6683,5
11,810,374,6
12,8134,1418,6
13,1020,7509,6
14,1808,5011,6
15,263,10585,6
16,1890,12249,6
17,3844,9436,7
18,2165,383,7
19,10940,4089,7
20,3808,10635,7
21,11167,3571,7
22,5587,7618,8
23,9610,6261,10
24,4155,4510,11
25,10347,11458,11
26,5488,10777,12
27,9443,10480,12
28,8347,6407,12
29,4878,10665,12
30,963,6600,12
31,1491,929,13
32,2931,10229,14
33,8609,6733,14
34,11655,4898,14
35,11629,793,15
36,9724,4098,16
37,4655,5560,16
38,12176,9428,16
39,26,7199,17
40,5549,7992,17
41,1635,3438,17
42,7980,10202,17
43,2951,11021,18
44,3473,8358,18
45,4019,8046,18
46,10254,523,19
47,10197,2316,20
48,8484,1189,20
49,5699,2534,21
50,11787,680,21
51,9182,1822,21
52,301,4452,21
53,8968,10623,22
54,3939,8869,22
55,5888,11007,22
56,7479,10691,23
57,5488,10256,23
58,2660,11184,23
59,5610,11833,23
60,2204,12287,24
61,3643,2844,24
62,789,4720,24
63,7815,1406,25
64,6021,9693,26
65,5559,11382,26
66,1623,1275,27
67,11313,2611,28
68,5271,2442,28
69,3934,4493,28
70,5488,11487,29
71,10577,6314,29
72,4985,413,29
73,9299,9182,30
74,414,2167,31
75,8266,1216,31
76,1737,7898,31
77,2619,4652,32
78,2769,3776,33
79,2512,685,33
80,2524,2449,33
81,182,2302,33
82,11648,7204,33
83,794,5780,34
84,7913,182,34
85,11222,5720,35
86,3907,5919,35
87,763,1491,35
88,2199,2052,36
89,9586,2315,36
90,5613,3026,37
91,7406,8137,37
92,2393,11841,38
93,4923,5683,38
94,7369,1452,39
95,3021,2495,40
96,778,9139,40
97,12202,11292,40
98,12004,2285,40
99,9472,4656,40
100,3161,3952,41
101,10565,3815,41
102,5962,1647,41
103,1747,3099,42
104,7133,9182,42
105,1344,10915,43
106,9388,6212,43
107,5973,4413,43
108,1388,8193,44
109,8184,2546,44
110,8435,65,44
111,9117,10166,44
112,8799,2538,44
113,6329,4151,45
114,6244,6396,45
115,5155,11734,46
116,1959,8289,46
117,6897,3095,47
118,6483,8935,47
119,5548,10930,49
120,7357,5380,49
121,5084,10339,49
